week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-3,65-69,female,0,0,332
week-3,65-69,male,0,0,471
week-3,70-74,all,0,0,1210
week-3,70-74,female,0,0,520
week-3,70-74,male,0,0,690
week-3,75-79,all,0,0,1612
week-3,75-79,female,0,0,726
week-3,75-79,male,0,0,886
week-3,80-84,all,0,0,2103
week-3,80-84,female,0,0,1023
week-3,80-84,male,0,0,1080
week-3,85-89,all,0,0,2421
week-3,85-89,female,0,0,1304
week-3,85-89,male,0,0,1117
week-3,90+,all,0,0,2924
week-3,90+,female,0,0,1933
week-3,90+,male,0,0,991
week-4,all,all,0,0,11856
week-4,all,female,,,
week-4,all,male,,,
week-4,0-1,all,0,0,53
week-4,0-1,female,0,0,25
week-4,0-1,male,0,0,28
week-4,1-4,all,0,0,9
week-4,1-4,female,0,0,3
week-4,1-4,male,0,0,6
week-4,5-9,all,0,0,4
week-4,5-9,female,0,0,0
week-4,5-9,male,0,0,4
week-4,10-14,all,0,0,8
week-4,10-14,female,0,0,4
week-4,10-14,male,0,0,4
week-4,15-19,all,0,0,15
week-4,15-19,female,0,0,1
week-4,15-19,male,0,0,14
week-4,20-24,all,0,0,30
week-4,20-24,female,0,0,7
week-4,20-24,male,0,0,23
week-4,25-29,all,0,0,36
week-4,25-29,female,0,0,5
week-4,25-29,male,0,0,31
week-4,30-34,all,0,0,38
week-4,30-34,female,0,0,16
week-4,30-34,male,0,0,22
week-4,35-39,all,0,0,79
week-4,35-39,female,0,0,34
week-4,35-39,male,0,0,45
week-4,40-44,all,0,0,116
week-4,40-44,female,0,0,37
week-4,40-44,male,0,0,79
week-4,45-49,all,0,0,160
week-4,45-49,female,0,0,70
week-4,45-49,male,0,0,90
week-4,50-54,all,0,0,280
week-4,50-54,female,0,0,99
week-4,50-54,male,0,0,181
week-4,55-59,all,0,0,381
week-4,55-59,female,0,0,166
week-4,55-59,male,0,0,215
week-4,60-64,all,0,0,535
week-4,60-64,female,0,0,201
week-4,60-64,male,0,0,334
week-4,65-69,all,0,0,791
week-4,65-69,female,0,0,309
week-4,65-69,male,0,0,482
week-4,70-74,all,0,0,1167
week-4,70-74,female,0,0,504
week-4,70-74,male,0,0,663
week-4,75-79,all,0,0,1474
week-4,75-79,female,0,0,655
week-4,75-79,male,0,0,819
week-4,80-84,all,0,0,1863
week-4,80-84,female,0,0,912
week-4,80-84,male,0,0,951
week-4,85-89,all,0,0,2188
week-4,85-89,female,0,0,1174
