week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-14,65-69,all,361,224,1044
week-14,65-69,female,114,71,382
week-14,65-69,male,247,153,662
week-14,70-74,all,582,402,1690
week-14,70-74,female,186,136,651
week-14,70-74,male,396,266,1039
week-14,75-79,all,794,549,2179
week-14,75-79,female,277,197,876
week-14,75-79,male,517,352,1303
week-14,80-84,all,992,682,2826
week-14,80-84,female,364,241,1256
week-14,80-84,male,628,441,1570
week-14,85-89,all,842,617,3015
week-14,85-89,female,332,263,1495
week-14,85-89,male,510,354,1520
week-14,90+,all,782,546,3413
week-14,90+,female,398,274,2086
week-14,90+,male,384,272,1327
week-15,all,all,8013,6213,18516
week-15,all,female,,,
week-15,all,male,,,
week-15,0-1,all,0,0,38
week-15,0-1,female,0,0,10
week-15,0-1,male,0,0,28
week-15,1-4,all,0,0,6
week-15,1-4,female,0,0,3
week-15,1-4,male,0,0,3
week-15,5-9,all,0,0,4
week-15,5-9,female,0,0,1
week-15,5-9,male,0,0,3
week-15,10-14,all,1,0,4
week-15,10-14,female,1,0,3
week-15,10-14,male,0,0,1
week-15,15-19,all,1,3,8
week-15,15-19,female,0,1,3
week-15,15-19,male,1,2,5
week-15,20-24,all,2,5,16
week-15,20-24,female,0,1,4
week-15,20-24,male,2,4,12
week-15,25-29,all,12,8,41
week-15,25-29,female,4,3,12
week-15,25-29,male,8,5,29
week-15,30-34,all,9,7,45
week-15,30-34,female,6,3,15
week-15,30-34,male,3,4,30
week-15,35-39,all,27,19,108
week-15,35-39,female,10,6,48
week-15,35-39,male,17,13,60
week-15,40-44,all,47,32,114
week-15,40-44,female,17,13,49
week-15,40-44,male,30,19,65
week-15,45-49,all,85,75,249
week-15,45-49,female,27,29,101
week-15,45-49,male,58,46,148
week-15,50-54,all,170,126,412
week-15,50-54,female,69,50,165
week-15,50-54,male,101,76,247
week-15,55-59,all,255,208,598
week-15,55-59,female,79,73,226
week-15,55-59,male,176,135,372
week-15,60-64,all,425,333,852
week-15,60-64,female,142,108,304
week-15,60-64,male,283,225,548
week-15,65-69,all,520,427,1149
week-15,65-69,female,176,148,443
week-15,65-69,male,344,279,706
week-15,70-74,all,845,677,1797
week-15,70-74,female,290,231,699
week-15,70-74,male,555,446,1098
week-15,75-79,all,1183,973,2418
week-15,75-79,female,424,332,967
week-15,75-79,male,759,641,1451
week-15,80-84,all,1529,1237,3195
week-15,80-84,female,587,465,1400
week-15,80-84,male,942,772,1795
week-15,85-89,all,1496,1091,3564
week-15,85-89,female,614,423,1738
week-15,85-89,male,882,668,1826
week-15,90+,all,1406,992,3898
week-15,90+,female,774,508,2377
week-15,90+,male,632,484,1521
week-16,all,all,8036,8758,22351
week-16,all,female,,,
week-16,all,male,,,
week-16,0-1,all,0,0,51
week-16,0-1,female,0,0,27
week-16,0-1,male,0,0,24
week-16,1-4,all,1,1,6
week-16,1-4,female,1,1,2
week-16,1-4,male,0,0,4
week-16,5-9,all,0,0,5
week-16,5-9,female,0,0,3
week-16,5-9,male,0,0,2
week-16,10-14,all,0,1,4
week-16,10-14,female,0,1,3
week-16,10-14,male,0,0,1
week-16,15-19,all,2,1,20
week-16,15-19,female,0,0,8
week-16,15-19,male,2,1,12
week-16,20-24,all,3,3,17
week-16,20-24,female,2,1,5
week-16,20-24,male,1,2,12
week-16,25-29,all,6,8,40
week-16,25-29,female,2,3,12
week-16,25-29,male,4,5,28
week-16,30-34,all,10,13,52
week-16,30-34,female,2,6,20
week-16,30-34,male,8,7,32
week-16,35-39,all,24,27,92
week-16,35-39,female,12,12,36
week-16,35-39,male,12,15,56
week-16,40-44,all,41,49,132
week-16,40-44,female,14,18,55
week-16,40-44,male,27,31,77
week-16,45-49,all,68,76,242
week-16,45-49,female,21,22,95
week-16,45-49,male,47,54,147
week-16,50-54,all,148,190,428
week-16,50-54,female,61,79,199
week-16,50-54,male,87,111,229
week-16,55-59,all,240,287,679
week-16,55-59,female,72,84,245
week-16,55-59,male,168,203,434
week-16,60-64,all,354,413,945
week-16,60-64,female,122,141,354
week-16,60-64,male,232,272,591
week-16,65-69,all,473,553,1272
week-16,65-69,female,159,183,481
week-16,65-69,male,314,370,791
week-16,70-74,all,757,889,2108
week-16,70-74,female,257,298,828
week-16,70-74,male,500,591,1280
week-16,75-79,all,1056,1197,2817
week-16,75-79,female,394,465,1182
week-16,75-79,male,662,732,1635
week-16,80-84,all,1517,1637,3840
week-16,80-84,female,637,652,1740
week-16,80-84,male,880,985,2100
week-16,85-89,all,1679,1739,4444
week-16,85-89,female,808,781,2333
week-16,85-89,male,871,958,2111
week-16,90+,all,1657,1674,5157
week-16,90+,female,962,954,3278
week-16,90+,male,695,720,1879
week-17,all,all,6342,8237,21997
week-17,all,female,,,
week-17,all,male,,,
week-17,0-1,all,0,0,54
week-17,0-1,female,0,0,21
week-17,0-1,male,0,0,33
week-17,1-4,all,0,0,6
week-17,1-4,female,0,0,2
week-17,1-4,male,0,0,4
week-17,5-9,all,0,0,3
week-17,5-9,female,0,0,0
week-17,5-9,male,0,0,3
week-17,10-14,all,0,0,3
week-17,10-14,female,0,0,1
week-17,10-14,male,0,0,2
week-17,15-19,all,0,0,11
week-17,15-19,female,0,0,6
week-17,15-19,male,0,0,5
week-17,20-24,all,4,4,25
week-17,20-24,female,1,2,14
week-17,20-24,male,3,2,11
week-17,25-29,all,6,9,34
week-17,25-29,female,3,4,11
week-17,25-29,male,3,5,23
week-17,30-34,all,11,20,66
week-17,30-34,female,5,8,27
week-17,30-34,male,6,12,39
week-17,35-39,all,14,17,98
week-17,35-39,female,9,10,36
week-17,35-39,male,5,7,62
week-17,40-44,all,28,53,170
week-17,40-44,female,9,15,59
week-17,40-44,male,19,38,111
week-17,45-49,all,51,82,279
week-17,45-49,female,16,25,104
week-17,45-49,male,35,57,175
week-17,50-54,all,103,139,438
week-17,50-54,female,27,44,164
week-17,50-54,male,76,95,274
week-17,55-59,all,195,240,639
week-17,55-59,female,60,78,232
week-17,55-59,male,135,162,407
week-17,60-64,all,233,362,927
week-17,60-64,female,74,123,349
week-17,60-64,male,159,239,578
week-17,65-69,all,317,458,1248
week-17,65-69,female,103,151,453
week-17,65-69,male,214,307,795
week-17,70-74,all,531,731,1990
week-17,70-74,female,191,261,770
week-17,70-74,male,340,470,1220
week-17,75-79,all,782,1040,2741
week-17,75-79,female,316,383,1127
week-17,75-79,male,466,657,1614
week-17,80-84,all,1206,1575,3772
week-17,80-84,female,559,693,1765
week-17,80-84,male,647,882,2007
week-17,85-89,all,1354,1709,4349
week-17,85-89,female,646,813,2264
week-17,85-89,male,708,896,2085
week-17,90+,all,1507,1798,5144
week-17,90+,female,912,1073,3364
week-17,90+,male,595,725,1780
